agency,requests,closed_with_valid_duration,closure_rate,median_closure_hours,p90_closure_hours
NYPD,15373,15373,1.0,3.862222222222222,31.431666666666676
HPD,4755,4754,0.9997896950578339,47.59638888888889,1041.9130555555555
DSNY,1183,1175,0.9932375316990701,25.778333333333332,283.9469444444446
DOT,1041,1004,0.9644572526416907,39.375972222222224,242.73333333333338
DEP,759,747,0.9841897233201581,22.366666666666667,154.41999999999993
DOB,393,393,1.0,81.15694444444445,3649.2640555555554
DOHMH,338,311,0.9201183431952663,31.002777777777776,1440.1902777777777
DPR,316,269,0.8512658227848101,145.15777777777777,3678.1456666666672
TLC,177,168,0.9491525423728814,1521.9337500000001,2958.386333333334
EDC,151,151,1.0,3333.938888888889,3356.2941666666666
DHS,124,71,0.5725806451612904,65.23861111111111,2772.6955555555555
DCWP,67,67,1.0,108.12222222222222,737.7150555555555
DOE,5,5,1.0,1168.091111111111,1719.6958333333334
OTI,2,2,1.0,354.30875,486.28175
